NO,NO_2
4.5217885770490405,92
2.772588722239781,40
1.791759469228055,51
4.356708826689592,96
2.3978952727983707,32
1.9459101490553132,31
2.772588722239781,43
2.0794415416798357,47
2.5649493574615367,40
3.4339872044851463,95
2.833213344056216,48
2.0794415416798357,39
1.791759469228055,44
2.302585092994046,52
4.3694478524670215,94
4.418840607796598,75
4.844187086458591,154
2.0794415416798357,33
3.4011973816621555,43
3.2188758248682006,49
3.1354942159291497,51
3.2188758248682006,96
1.791759469228055,43
2.3978952727983707,43
2.9444389791664403,37
2.8903717578961645,60
2.302585092994046,44
2.3978952727983707,66
3.258096538021482,77
3.091042453358316,43
1.9459101490553132,51
2.0794415416798357,55
1.9459101490553132,61
3.091042453358316,59
1.791759469228055,34
2.5649493574615367,45
3.295836866004329,50
4.343805421853684,63
2.9444389791664403,45
3.1354942159291497,49
1.6094379124341003,53
1.6094379124341003,19
4.663439094112067,68
1.9459101490553132,34
4.624972813284271,105
1.9459101490553132,17
4.248495242049359,79
4.110873864173311,75
3.5263605246161616,17
1.791759469228055,38
1.9459101490553132,24
1.791759469228055,36
2.0794415416798357,55
3.5553480614894135,64
4.564348191467836,67
1.6094379124341003,15
1.9459101490553132,46
2.302585092994046,73
2.1972245773362196,81
2.0794415416798357,74
2.1972245773362196,72
2.995732273553991,40
2.0794415416798357,64
2.4849066497880004,56
3.5553480614894135,63
1.6094379124341003,49
1.791759469228055,20
3.044522437723423,68
1.6094379124341003,30
3.2188758248682006,58
1.6094379124341003,49
1.6094379124341003,39
4.276666119016055,76
4.31748811353631,102
4.04305126783455,68
2.5649493574615367,17
2.70805020110221,70
4.442651256490317,76
1.9459101490553132,19
2.1972245773362196,19
3.044522437723423,63
1.9459101490553132,46
4.3694478524670215,68
3.6635616461296463,56
2.302585092994046,35
2.995732273553991,63
1.9459101490553132,25
3.6635616461296463,47
4.1588830833596715,85
2.1972245773362196,34
4.804021044733257,103
2.4849066497880004,54
1.9459101490553132,45
1.6094379124341003,18
1.6094379124341003,18
2.772588722239781,16
2.995732273553991,29
3.258096538021482,33
4.442651256490317,68
3.295836866004329,62
3.9889840465642745,69
2.772588722239781,58
2.833213344056216,64
2.1972245773362196,50
1.6094379124341003,20
1.6094379124341003,30
1.9459101490553132,49
3.912023005428146,54
2.1972245773362196,20
3.1780538303479458,40
4.709530201312334,92
4.1588830833596715,74
4.48863636973214,83
2.6390573296152584,45
2.1972245773362196,28
1.9459101490553132,24
1.791759469228055,86
3.6888794541139363,74
1.6094379124341003,31
1.6094379124341003,49
2.0794415416798357,21
3.2188758248682006,71
3.4965075614664802,99
2.3978952727983707,34
4.31748811353631,101
2.772588722239781,85
2.4849066497880004,45
3.784189633918261,80
2.70805020110221,31
3.6888794541139363,65
4.143134726391533,73
2.6390573296152584,46
1.6094379124341003,17
4.477336814478207,108
2.0794415416798357,19
3.332204510175204,74
2.70805020110221,72
1.6094379124341003,14
