listing_id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
992676,97.0,10.0,10.0,10.0,10.0,10.0,9.0
997382,90.0,10.0,10.0,10.0,10.0,10.0,9.0
1007157,92.0,10.0,9.0,10.0,9.0,10.0,9.0
1011751,92.0,10.0,10.0,9.0,10.0,10.0,9.0
1016604,94.0,10.0,9.0,10.0,10.0,10.0,10.0
1017799,92.0,9.0,9.0,10.0,9.0,10.0,9.0
1030352,95.0,10.0,10.0,10.0,10.0,9.0,9.0
1033754,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1038324,91.0,9.0,9.0,10.0,10.0,9.0,9.0
1080408,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1110787,95.0,10.0,10.0,10.0,10.0,10.0,9.0
1130628,78.0,7.0,8.0,9.0,9.0,9.0,8.0
1177310,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1178281,98.0,10.0,10.0,10.0,10.0,10.0,9.0
1200068,98.0,10.0,10.0,10.0,10.0,9.0,10.0
1201159,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1206184,86.0,9.0,8.0,10.0,10.0,10.0,9.0
1223704,96.0,10.0,9.0,10.0,10.0,9.0,9.0
1229606,93.0,9.0,10.0,10.0,10.0,8.0,9.0
1247160,75.0,7.0,7.0,9.0,9.0,9.0,7.0
1249046,92.0,10.0,10.0,10.0,9.0,8.0,9.0
1251570,97.0,10.0,10.0,10.0,10.0,10.0,9.0
1261122,96.0,10.0,10.0,10.0,10.0,10.0,9.0
1292217,97.0,7.0,9.0,10.0,10.0,10.0,9.0
1299242,95.0,10.0,10.0,9.0,10.0,10.0,9.0
1317908,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1329465,98.0,10.0,10.0,9.0,10.0,10.0,10.0
1332343,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1333047,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1351626,93.0,10.0,10.0,10.0,9.0,9.0,9.0
1388523,94.0,10.0,9.0,10.0,10.0,10.0,9.0
1392204,97.0,10.0,10.0,10.0,10.0,9.0,10.0
1405046,100.0,10.0,10.0,10.0,10.0,9.0,9.0
1433011,97.0,10.0,9.0,10.0,10.0,10.0,10.0
1433917,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1434314,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1442027,100.0,10.0,10.0,10.0,10.0,10.0,9.0
1460174,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1478708,98.0,10.0,9.0,10.0,10.0,10.0,10.0
1480015,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1482273,98.0,10.0,10.0,10.0,10.0,10.0,9.0
1498953,97.0,10.0,10.0,10.0,10.0,10.0,10.0
1499630,98.0,10.0,9.0,10.0,10.0,9.0,9.0
