track,artist,danceability,energy,valence,tempo,previously_heard,liked
Molly,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",0.831,0.7829999999999999,0.7709999999999999,140.046,Heard,Like
Craving You,Thomas Rhett Featuring Maren Morris,0.613,0.8390000000000001,0.526,104.975,Haven't Heard,Dislike
Something To Do With My Hands,Thomas Rhett,0.561,0.932,0.495,126.116,Haven't Heard,Like
The Boys of Fall,Kenny Chesney,0.503,0.648,0.39,147.942,Heard,Dislike
Mixed Personalities,YNW Melly Featuring Kanye West,0.6609999999999999,0.44,0.35200000000000004,149.937,Haven't Heard,Dislike
A Little More Summertime,Jason Aldean,0.48200000000000004,0.823,0.451,167.665,Heard,Dislike
U Can't Touch This,Glee Cast,0.8009999999999999,0.9470000000000001,0.92,133.381,Haven't Heard,Dislike
Confident,Justin Bieber Featuring Chance The Rapper,0.738,0.563,0.8759999999999999,134.132,Haven't Heard,Like
Hey Pretty Girl,Kip Moore,0.345,0.375,0.0898,83.214,Haven't Heard,Like
Good Vibes,Chris Janson,0.5820000000000001,0.846,0.736,92.00399999999999,Haven't Heard,Like
Shots,LMFAO Featuring Lil Jon,0.825,0.856,0.207,128.016,Haven't Heard,Like
One Time,Justin Bieber,0.691,0.853,0.762,145.999,Haven't Heard,Like
Camelot,NLE Choppa,0.787,0.713,0.762,175.041,Haven't Heard,Like
Slide,Calvin Harris Featuring Frank Ocean & Migos,0.736,0.795,0.511,104.066,Haven't Heard,Like
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,0.733,0.6759999999999999,0.701,97.448,Heard,Like
everything i wanted,Billie Eilish,0.7040000000000001,0.225,0.243,120.006,Haven't Heard,Like
I Love It,Kanye West & Lil Pump,0.9009999999999999,0.522,0.32899999999999996,104.053,Haven't Heard,Dislike
Best Friend,Young Thug,0.9590000000000001,0.598,0.408,127.029,Heard,Dislike
All The Good Girls Go To Hell,Billie Eilish,0.726,0.444,0.569,185.044,Haven't Heard,Dislike
You Belong With Me,Taylor Swift,0.687,0.7829999999999999,0.44299999999999995,129.964,Haven't Heard,Like
Ex's & Oh's,Elle King,0.612,0.9209999999999999,0.45299999999999996,139.986,Haven't Heard,Like
Rockstar,Post Malone Featuring 21 Savage,0.585,0.52,0.129,159.80100000000004,Haven't Heard,Like
Check,Young Thug,0.667,0.581,0.368,110.95299999999999,Haven't Heard,Like
